Time and date',ECG,PPG
[11:28:12.270 14/08/1994]',-0.185,78.738
[11:28:12.272 14/08/1994]',-0.17,77.414
[11:28:12.274 14/08/1994]',-0.14,77.414
[11:28:12.276 14/08/1994]',-0.147,77.414
[11:28:12.278 14/08/1994]',-0.199,77.414
[11:28:12.280 14/08/1994]',-0.199,76.791
[11:28:12.282 14/08/1994]',-0.17,76.791
[11:28:12.284 14/08/1994]',-0.155,76.791
[11:28:12.286 14/08/1994]',-0.118,76.791
[11:28:12.288 14/08/1994]',-0.088,76.636
[11:28:12.290 14/08/1994]',-0.074,76.636
[11:28:12.292 14/08/1994]',-0.066,76.636
[11:28:12.294 14/08/1994]',-0.074,76.636
[11:28:12.296 14/08/1994]',-0.096,76.869
[11:28:12.298 14/08/1994]',-0.096,76.869
[11:28:12.300 14/08/1994]',-0.11,76.869
[11:28:12.302 14/08/1994]',-0.103,76.869
[11:28:12.304 14/08/1994]',-0.103,77.414
[11:28:12.306 14/08/1994]',-0.088,77.414
[11:28:12.308 14/08/1994]',-0.081,77.414
[11:28:12.310 14/08/1994]',-0.096,77.414
[11:28:12.312 14/08/1994]',-0.118,77.882
[11:28:12.314 14/08/1994]',-0.133,77.882
[11:28:12.316 14/08/1994]',-0.133,77.882
[11:28:12.318 14/08/1994]',-0.11,77.882
[11:28:12.320 14/08/1994]',-0.103,78.271
[11:28:12.322 14/08/1994]',-0.118,78.271
[11:28:12.324 14/08/1994]',-0.103,78.271
[11:28:12.326 14/08/1994]',-0.088,78.271
[11:28:12.328 14/08/1994]',-0.096,78.505
[11:28:12.330 14/08/1994]',-0.11,78.505
[11:28:12.332 14/08/1994]',-0.133,78.505
[11:28:12.334 14/08/1994]',-0.133,78.505
[11:28:12.336 14/08/1994]',-0.133,78.505
[11:28:12.338 14/08/1994]',-0.118,78.505
[11:28:12.340 14/08/1994]',-0.103,78.505
[11:28:12.342 14/08/1994]',-0.088,78.505
[11:28:12.344 14/08/1994]',-0.074,78.427
[11:28:12.346 14/08/1994]',-0.044,78.427
[11:28:12.348 14/08/1994]',-0.044,78.427
[11:28:12.350 14/08/1994]',-0.044,78.427
[11:28:12.352 14/08/1994]',-0.044,78.271
[11:28:12.354 14/08/1994]',-0.081,78.271
[11:28:12.356 14/08/1994]',-0.096,78.271
[11:28:12.358 14/08/1994]',-0.11,78.271
[11:28:12.360 14/08/1994]',-0.14,78.115
[11:28:12.362 14/08/1994]',-0.199,78.115
[11:28:12.364 14/08/1994]',-0.244,78.115
[11:28:12.366 14/08/1994]',-0.318,78.115
[11:28:12.368 14/08/1994]',-0.399,77.96
[11:28:12.370 14/08/1994]',-0.451,77.96
[11:28:12.372 14/08/1994]',-0.503,77.96
[11:28:12.374 14/08/1994]',-0.569,77.96
[11:28:12.376 14/08/1994]',-0.673,77.726
[11:28:12.378 14/08/1994]',-,77.726
[11:28:12.380 14/08/1994]',-,77.726
[11:28:12.382 14/08/1994]',-,77.726
[11:28:12.384 14/08/1994]',-,77.492
[11:28:12.386 14/08/1994]',-,77.492
[11:28:12.388 14/08/1994]',-,77.492
[11:28:12.390 14/08/1994]',-,77.492
[11:28:12.392 14/08/1994]',-,77.259
[11:28:12.394 14/08/1994]',-,77.259
[11:28:12.396 14/08/1994]',-,77.259
[11:28:12.398 14/08/1994]',-,77.259
[11:28:12.400 14/08/1994]',-,77.103
[11:28:12.402 14/08/1994]',-,77.103
[11:28:12.404 14/08/1994]',-0.673,77.103
[11:28:12.406 14/08/1994]',-0.577,77.103
[11:28:12.408 14/08/1994]',-0.495,76.869
[11:28:12.410 14/08/1994]',-0.429,76.869
[11:28:12.412 14/08/1994]',-0.377,76.869
[11:28:12.414 14/08/1994]',-0.31,76.869
[11:28:12.416 14/08/1994]',-0.221,76.558
[11:28:12.418 14/08/1994]',-0.177,76.558
[11:28:12.420 14/08/1994]',-0.14,76.558
[11:28:12.422 14/08/1994]',-0.133,76.558
[11:28:12.424 14/08/1994]',-0.118,76.324
[11:28:12.426 14/08/1994]',-0.088,76.324
[11:28:12.428 14/08/1994]',-0.066,76.324
[11:28:12.430 14/08/1994]',-0.022,76.324
[11:28:12.432 14/08/1994]',0.008,76.09
[11:28:12.434 14/08/1994]',0.015,76.09
[11:28:12.436 14/08/1994]',0.008,76.09
[11:28:12.438 14/08/1994]',0.023,76.09
[11:28:12.440 14/08/1994]',0.015,75.857
[11:28:12.442 14/08/1994]',0.015,75.857
[11:28:12.444 14/08/1994]',0.037,75.857
[11:28:12.446 14/08/1994]',0.045,75.857
[11:28:12.448 14/08/1994]',0.067,75.623
[11:28:12.450 14/08/1994]',0.075,75.623
[11:28:12.452 14/08/1994]',0.097,75.623
[11:28:12.454 14/08/1994]',0.104,75.623
[11:28:12.456 14/08/1994]',0.104,75.312
[11:28:12.458 14/08/1994]',0.111,75.312
[11:28:12.460 14/08/1994]',0.104,75.312
[11:28:12.462 14/08/1994]',0.119,75.312
[11:28:12.464 14/08/1994]',0.141,74.922
[11:28:12.466 14/08/1994]',0.148,74.922
[11:28:12.468 14/08/1994]',0.156,74.922
[11:28:12.470 14/08/1994]',0.163,74.922
[11:28:12.472 14/08/1994]',0.163,74.455
[11:28:12.474 14/08/1994]',0.163,74.455
[11:28:12.476 14/08/1994]',0.163,74.455
[11:28:12.478 14/08/1994]',0.171,74.455
[11:28:12.480 14/08/1994]',0.186,73.988
[11:28:12.482 14/08/1994]',0.163,73.988
[11:28:12.484 14/08/1994]',0.148,73.988
[11:28:12.486 14/08/1994]',0.141,73.988
[11:28:12.488 14/08/1994]',0.178,73.52
[11:28:12.490 14/08/1994]',0.215,73.52
[11:28:12.492 14/08/1994]',0.23,73.52
[11:28:12.494 14/08/1994]',0.237,73.52
[11:28:12.496 14/08/1994]',0.237,73.053
[11:28:12.498 14/08/1994]',0.23,73.053
[11:28:12.500 14/08/1994]',0.222,73.053
[11:28:12.502 14/08/1994]',0.2,73.053
[11:28:12.504 14/08/1994]',0.178,72.664
[11:28:12.506 14/08/1994]',0.2,72.664
[11:28:12.508 14/08/1994]',0.208,72.664
[11:28:12.510 14/08/1994]',0.215,72.664
[11:28:12.512 14/08/1994]',0.215,72.274
[11:28:12.514 14/08/1994]',0.215,72.274
[11:28:12.516 14/08/1994]',0.208,72.274
[11:28:12.518 14/08/1994]',0.208,72.274
[11:28:12.520 14/08/1994]',0.208,71.963
[11:28:12.522 14/08/1994]',0.208,71.963
[11:28:12.524 14/08/1994]',0.208,71.963
[11:28:12.526 14/08/1994]',0.2,71.963
[11:28:12.528 14/08/1994]',0.178,71.729
[11:28:12.530 14/08/1994]',0.2,71.729
[11:28:12.532 14/08/1994]',0.208,71.729
[11:28:12.534 14/08/1994]',0.222,71.729
[11:28:12.536 14/08/1994]',0.215,71.729
[11:28:12.538 14/08/1994]',0.215,71.729
[11:28:12.540 14/08/1994]',0.222,71.729
[11:28:12.542 14/08/1994]',0.23,71.729
[11:28:12.544 14/08/1994]',0.237,72.274
[11:28:12.546 14/08/1994]',0.237,72.274
[11:28:12.548 14/08/1994]',0.252,72.274
[11:28:12.550 14/08/1994]',0.252,72.274
[11:28:12.552 14/08/1994]',0.245,74.143
[11:28:12.554 14/08/1994]',0.245,74.143
[11:28:12.556 14/08/1994]',0.267,74.143
[11:28:12.558 14/08/1994]',0.267,74.143
[11:28:12.560 14/08/1994]',0.274,78.115
[11:28:12.562 14/08/1994]',0.274,78.115
[11:28:12.564 14/08/1994]',0.297,78.115
[11:28:12.566 14/08/1994]',0.297,78.115
[11:28:12.568 14/08/1994]',0.297,84.346
[11:28:12.570 14/08/1994]',0.304,84.346
[11:28:12.572 14/08/1994]',0.319,84.346
[11:28:12.574 14/08/1994]',0.333,84.346
[11:28:12.576 14/08/1994]',0.341,91.511
[11:28:12.578 14/08/1994]',0.341,91.511
[11:28:12.580 14/08/1994]',0.341,91.511
[11:28:12.582 14/08/1994]',0.341,91.511
[11:28:12.584 14/08/1994]',0.356,97.819
[11:28:12.586 14/08/1994]',0.37,97.819
[11:28:12.588 14/08/1994]',0.385,97.819
[11:28:12.590 14/08/1994]',0.385,97.819
[11:28:12.592 14/08/1994]',0.4,102.181
[11:28:12.594 14/08/1994]',0.385,102.181
[11:28:12.596 14/08/1994]',0.378,102.181
[11:28:12.598 14/08/1994]',0.385,102.181
[11:28:12.600 14/08/1994]',0.385,104.829
[11:28:12.602 14/08/1994]',0.4,104.829
[11:28:12.604 14/08/1994]',0.4,104.829
[11:28:12.606 14/08/1994]',0.415,104.829
[11:28:12.608 14/08/1994]',0.4,106.153
[11:28:12.610 14/08/1994]',0.385,106.153
[11:28:12.612 14/08/1994]',0.4,106.153
[11:28:12.614 14/08/1994]',0.408,106.153
[11:28:12.616 14/08/1994]',0.385,106.776
[11:28:12.618 14/08/1994]',0.363,106.776
[11:28:12.620 14/08/1994]',0.363,106.776
[11:28:12.622 14/08/1994]',0.363,106.776
[11:28:12.624 14/08/1994]',0.37,106.854
[11:28:12.626 14/08/1994]',0.4,106.854
[11:28:12.628 14/08/1994]',0.4,106.854
[11:28:12.630 14/08/1994]',0.37,106.854
[11:28:12.632 14/08/1994]',0.363,106.776
[11:28:12.634 14/08/1994]',0.348,106.776
[11:28:12.636 14/08/1994]',0.333,106.776
[11:28:12.638 14/08/1994]',0.319,106.776
[11:28:12.640 14/08/1994]',0.311,106.464
[11:28:12.642 14/08/1994]',0.297,106.464
[11:28:12.644 14/08/1994]',0.289,106.464
[11:28:12.646 14/08/1994]',0.282,106.464
[11:28:12.648 14/08/1994]',0.274,105.997
[11:28:12.650 14/08/1994]',0.267,105.997
[11:28:12.652 14/08/1994]',0.23,105.997
[11:28:12.654 14/08/1994]',0.2,105.997
[11:28:12.656 14/08/1994]',0.171,105.218
[11:28:12.658 14/08/1994]',0.163,105.218
[11:28:12.660 14/08/1994]',0.148,105.218
[11:28:12.662 14/08/1994]',0.134,105.218
[11:28:12.664 14/08/1994]',0.119,104.206
[11:28:12.666 14/08/1994]',0.111,104.206
[11:28:12.668 14/08/1994]',0.111,104.206
[11:28:12.670 14/08/1994]',0.097,104.206
[11:28:12.672 14/08/1994]',0.089,102.96
[11:28:12.674 14/08/1994]',0.082,102.96
[11:28:12.676 14/08/1994]',0.075,102.96
[11:28:12.678 14/08/1994]',0.067,102.96
[11:28:12.680 14/08/1994]',0.045,101.324
[11:28:12.682 14/08/1994]',0.037,101.324
[11:28:12.684 14/08/1994]',0.015,101.324
[11:28:12.686 14/08/1994]',0.015,101.324
[11:28:12.688 14/08/1994]',0.008,99.533
[11:28:12.690 14/08/1994]',-0.007,99.533
[11:28:12.692 14/08/1994]',0.001,99.533
[11:28:12.694 14/08/1994]',0.052,99.533
[11:28:12.696 14/08/1994]',0.082,97.43
[11:28:12.698 14/08/1994]',0.075,97.43
[11:28:12.700 14/08/1994]',0.052,97.43
[11:28:12.702 14/08/1994]',0.03,97.43
[11:28:12.704 14/08/1994]',0.023,95.171
[11:28:12.706 14/08/1994]',0.023,95.171
[11:28:12.708 14/08/1994]',0.015,95.171
[11:28:12.710 14/08/1994]',0.023,95.171
[11:28:12.712 14/08/1994]',0.023,92.757
[11:28:12.714 14/08/1994]',0.001,92.757
[11:28:12.716 14/08/1994]',0.015,92.757
[11:28:12.718 14/08/1994]',0.015,92.757
[11:28:12.720 14/08/1994]',0.008,90.265
[11:28:12.722 14/08/1994]',-0.007,90.265
[11:28:12.724 14/08/1994]',-0.022,90.265
[11:28:12.726 14/08/1994]',-0.022,90.265
[11:28:12.728 14/08/1994]',-0.014,87.695
[11:28:12.730 14/08/1994]',-0.022,87.695
[11:28:12.732 14/08/1994]',-0.007,87.695
[11:28:12.734 14/08/1994]',-0.007,87.695
[11:28:12.736 14/08/1994]',0.015,85.125
[11:28:12.738 14/08/1994]',0.023,85.125
[11:28:12.740 14/08/1994]',0.03,85.125
[11:28:12.742 14/08/1994]',0.03,85.125
[11:28:12.744 14/08/1994]',0.03,82.71
[11:28:12.746 14/08/1994]',0.03,82.71
[11:28:12.748 14/08/1994]',0.015,82.71
[11:28:12.750 14/08/1994]',0.008,82.71
[11:28:12.752 14/08/1994]',-0.029,80.452
[11:28:12.754 14/08/1994]',-0.044,80.452
[11:28:12.756 14/08/1994]',-0.029,80.452
[11:28:12.758 14/08/1994]',-0.014,80.452
[11:28:12.760 14/08/1994]',-0.007,78.66
[11:28:12.762 14/08/1994]',-0.007,78.66
[11:28:12.764 14/08/1994]',0.015,78.66
[11:28:12.766 14/08/1994]',0.045,78.66
[11:28:12.768 14/08/1994]',0.052,77.336
[11:28:12.770 14/08/1994]',0.067,77.336
[11:28:12.772 14/08/1994]',0.052,77.336
[11:28:12.774 14/08/1994]',0.052,77.336
[11:28:12.776 14/08/1994]',0.037,76.402
[11:28:12.778 14/08/1994]',0.045,76.402
[11:28:12.780 14/08/1994]',0.03,76.402
[11:28:12.782 14/08/1994]',0.023,76.402
[11:28:12.784 14/08/1994]',0.023,75.935
[11:28:12.786 14/08/1994]',0.023,75.935
[11:28:12.788 14/08/1994]',0.023,75.935
[11:28:12.790 14/08/1994]',0.023,75.935
[11:28:12.792 14/08/1994]',0.03,75.701
[11:28:12.794 14/08/1994]',0.037,75.701
[11:28:12.796 14/08/1994]',0.037,75.701
[11:28:12.798 14/08/1994]',0.03,75.701
[11:28:12.800 14/08/1994]',0.037,75.623
[11:28:12.802 14/08/1994]',0.03,75.623
[11:28:12.804 14/08/1994]',0.03,75.623
[11:28:12.806 14/08/1994]',0.037,75.623
[11:28:12.808 14/08/1994]',0.023,75.467
[11:28:12.810 14/08/1994]',0.037,75.467
[11:28:12.812 14/08/1994]',0.052,75.467
[11:28:12.814 14/08/1994]',0.052,75.467
[11:28:12.816 14/08/1994]',0.045,75.156
[11:28:12.818 14/08/1994]',0.037,75.156
[11:28:12.820 14/08/1994]',0.037,75.156
[11:28:12.822 14/08/1994]',0.045,75.156
[11:28:12.824 14/08/1994]',0.067,74.922
[11:28:12.826 14/08/1994]',0.067,74.922
[11:28:12.828 14/08/1994]',0.037,74.922
[11:28:12.830 14/08/1994]',0.052,74.922
[11:28:12.832 14/08/1994]',0.067,74.688
[11:28:12.834 14/08/1994]',0.052,74.688
[11:28:12.836 14/08/1994]',0.067,74.688
[11:28:12.838 14/08/1994]',0.082,74.688
[11:28:12.840 14/08/1994]',0.089,74.611
[11:28:12.842 14/08/1994]',0.089,74.611
[11:28:12.844 14/08/1994]',0.089,74.611
[11:28:12.846 14/08/1994]',0.097,74.611
[11:28:12.848 14/08/1994]',0.104,74.455
[11:28:12.850 14/08/1994]',0.082,74.455
[11:28:12.852 14/08/1994]',0.045,74.455
[11:28:12.854 14/08/1994]',-0.022,74.455
[11:28:12.856 14/08/1994]',-0.096,74.377
[11:28:12.858 14/08/1994]',-0.17,74.377
[11:28:12.860 14/08/1994]',-0.266,74.377
[11:28:12.862 14/08/1994]',-0.34,74.377
[11:28:12.864 14/08/1994]',-0.399,74.221
[11:28:12.866 14/08/1994]',-0.466,74.221
[11:28:12.868 14/08/1994]',-0.532,74.221
[11:28:12.870 14/08/1994]',-0.629,74.221
[11:28:12.872 14/08/1994]',-,74.065
[11:28:12.874 14/08/1994]',-,74.065
[11:28:12.876 14/08/1994]',-,74.065
[11:28:12.878 14/08/1994]',-,74.065
[11:28:12.880 14/08/1994]',-,73.832
[11:28:12.882 14/08/1994]',-,73.832
[11:28:12.884 14/08/1994]',-,73.832
[11:28:12.886 14/08/1994]',-,73.832
[11:28:12.888 14/08/1994]',-,73.52
[11:28:12.890 14/08/1994]',-,73.52
[11:28:12.892 14/08/1994]',-,73.52
[11:28:12.894 14/08/1994]',-0.636,73.52
[11:28:12.896 14/08/1994]',-0.532,73.209
[11:28:12.898 14/08/1994]',-0.429,73.209
[11:28:12.900 14/08/1994]',-0.369,73.209
[11:28:12.902 14/08/1994]',-0.303,73.209
[11:28:12.904 14/08/1994]',-0.236,72.664
[11:28:12.906 14/08/1994]',-0.185,72.664
[11:28:12.908 14/08/1994]',-0.14,72.664
[11:28:12.910 14/08/1994]',-0.096,72.664
[11:28:12.912 14/08/1994]',-0.081,72.196
[11:28:12.914 14/08/1994]',-0.036,72.196
[11:28:12.916 14/08/1994]',-0.007,72.196
[11:28:12.918 14/08/1994]',0.015,72.196
[11:28:12.920 14/08/1994]',0.03,71.729
[11:28:12.922 14/08/1994]',0.067,71.729
[11:28:12.924 14/08/1994]',0.082,71.729
[11:28:12.926 14/08/1994]',0.097,71.729
[11:28:12.928 14/08/1994]',0.111,71.262
[11:28:12.930 14/08/1994]',0.134,71.262
[11:28:12.932 14/08/1994]',0.163,71.262
[11:28:12.934 14/08/1994]',0.178,71.262
[11:28:12.936 14/08/1994]',0.186,70.717
[11:28:12.938 14/08/1994]',0.208,70.717
[11:28:12.940 14/08/1994]',0.215,70.717
[11:28:12.942 14/08/1994]',0.222,70.717
[11:28:12.944 14/08/1994]',0.23,70.171
[11:28:12.946 14/08/1994]',0.23,70.171
[11:28:12.948 14/08/1994]',0.23,70.171
[11:28:12.950 14/08/1994]',0.237,70.171
[11:28:12.952 14/08/1994]',0.222,69.548
[11:28:12.954 14/08/1994]',0.222,69.548
[11:28:12.956 14/08/1994]',0.215,69.548
[11:28:12.958 14/08/1994]',0.222,69.548
[11:28:12.960 14/08/1994]',0.237,68.769
[11:28:12.962 14/08/1994]',0.237,68.769
[11:28:12.964 14/08/1994]',0.245,68.769
[11:28:12.966 14/08/1994]',0.237,68.769
[11:28:12.968 14/08/1994]',0.245,67.991
[11:28:12.970 14/08/1994]',0.245,67.991
[11:28:12.972 14/08/1994]',0.245,67.991
[11:28:12.974 14/08/1994]',0.252,67.991
[11:28:12.976 14/08/1994]',0.245,67.134
[11:28:12.978 14/08/1994]',0.252,67.134
[11:28:12.980 14/08/1994]',0.252,67.134
[11:28:12.982 14/08/1994]',0.245,67.134
[11:28:12.984 14/08/1994]',0.237,66.355
[11:28:12.986 14/08/1994]',0.23,66.355
[11:28:12.988 14/08/1994]',0.222,66.355
[11:28:12.990 14/08/1994]',0.222,66.355
[11:28:12.992 14/08/1994]',0.215,65.654
[11:28:12.994 14/08/1994]',0.2,65.654
[11:28:12.996 14/08/1994]',0.215,65.654
[11:28:12.998 14/08/1994]',0.2,65.654
[11:28:13.000 14/08/1994]',0.2,64.875
[11:28:13.002 14/08/1994]',0.2,64.875
[11:28:13.004 14/08/1994]',0.186,64.875
[11:28:13.006 14/08/1994]',0.208,64.875
[11:28:13.008 14/08/1994]',0.208,64.252
[11:28:13.010 14/08/1994]',0.208,64.252
[11:28:13.012 14/08/1994]',0.208,64.252
[11:28:13.014 14/08/1994]',0.208,64.252
[11:28:13.016 14/08/1994]',0.2,63.629
[11:28:13.018 14/08/1994]',0.2,63.629
[11:28:13.020 14/08/1994]',0.2,63.629
[11:28:13.022 14/08/1994]',0.2,63.629
[11:28:13.024 14/08/1994]',0.2,63.162
[11:28:13.026 14/08/1994]',0.2,63.162
[11:28:13.028 14/08/1994]',0.208,63.162
[11:28:13.030 14/08/1994]',0.2,63.162
[11:28:13.032 14/08/1994]',0.2,62.928
[11:28:13.034 14/08/1994]',0.208,62.928
[11:28:13.036 14/08/1994]',0.2,62.928
[11:28:13.038 14/08/1994]',0.2,62.928
[11:28:13.040 14/08/1994]',0.2,63.474
[11:28:13.042 14/08/1994]',0.208,63.474
[11:28:13.044 14/08/1994]',0.2,63.474
[11:28:13.046 14/08/1994]',0.208,63.474
[11:28:13.048 14/08/1994]',0.208,65.498
[11:28:13.050 14/08/1994]',0.2,65.498
[11:28:13.052 14/08/1994]',0.208,65.498
[11:28:13.054 14/08/1994]',0.208,65.498
[11:28:13.056 14/08/1994]',0.208,69.704
[11:28:13.058 14/08/1994]',0.215,69.704
[11:28:13.060 14/08/1994]',0.23,69.704
[11:28:13.062 14/08/1994]',0.245,69.704
[11:28:13.064 14/08/1994]',0.245,75.779
[11:28:13.066 14/08/1994]',0.245,75.779
[11:28:13.068 14/08/1994]',0.252,75.779
[11:28:13.070 14/08/1994]',0.267,75.779
[11:28:13.072 14/08/1994]',0.274,82.399
[11:28:13.074 14/08/1994]',0.282,82.399
[11:28:13.076 14/08/1994]',0.289,82.399
[11:28:13.078 14/08/1994]',0.297,82.399
[11:28:13.080 14/08/1994]',0.304,87.695
[11:28:13.082 14/08/1994]',0.304,87.695
[11:28:13.084 14/08/1994]',0.311,87.695
[11:28:13.086 14/08/1994]',0.333,87.695
[11:28:13.088 14/08/1994]',0.333,90.966
[11:28:13.090 14/08/1994]',0.333,90.966
[11:28:13.092 14/08/1994]',0.333,90.966
[11:28:13.094 14/08/1994]',0.333,90.966
[11:28:13.096 14/08/1994]',0.333,92.601
[11:28:13.098 14/08/1994]',0.333,92.601
[11:28:13.100 14/08/1994]',0.333,92.601
[11:28:13.102 14/08/1994]',0.333,92.601
[11:28:13.104 14/08/1994]',0.319,93.224
[11:28:13.106 14/08/1994]',0.319,93.224
[11:28:13.108 14/08/1994]',0.319,93.224
[11:28:13.110 14/08/1994]',0.319,93.224
[11:28:13.112 14/08/1994]',0.333,93.536
[11:28:13.114 14/08/1994]',0.333,93.536
[11:28:13.116 14/08/1994]',0.333,93.536
[11:28:13.118 14/08/1994]',0.319,93.536
[11:28:13.120 14/08/1994]',0.319,93.302
[11:28:13.122 14/08/1994]',0.311,93.302
[11:28:13.124 14/08/1994]',0.297,93.302
[11:28:13.126 14/08/1994]',0.297,93.302
[11:28:13.128 14/08/1994]',0.282,92.913
[11:28:13.130 14/08/1994]',0.267,92.913
[11:28:13.132 14/08/1994]',0.245,92.913
[11:28:13.134 14/08/1994]',0.23,92.913
[11:28:13.136 14/08/1994]',0.215,92.212
[11:28:13.138 14/08/1994]',0.2,92.212
[11:28:13.140 14/08/1994]',0.186,92.212
[11:28:13.142 14/08/1994]',0.178,92.212
[11:28:13.144 14/08/1994]',0.156,91.355
[11:28:13.146 14/08/1994]',0.156,91.355
[11:28:13.148 14/08/1994]',0.134,91.355
[11:28:13.150 14/08/1994]',0.119,91.355
[11:28:13.152 14/08/1994]',0.111,90.343
[11:28:13.154 14/08/1994]',0.104,90.343
[11:28:13.156 14/08/1994]',0.089,90.343
[11:28:13.158 14/08/1994]',0.075,90.343
[11:28:13.160 14/08/1994]',0.075,89.097
[11:28:13.162 14/08/1994]',0.067,89.097
[11:28:13.164 14/08/1994]',0.045,89.097
[11:28:13.166 14/08/1994]',0.03,89.097
[11:28:13.168 14/08/1994]',0.015,87.539
[11:28:13.170 14/08/1994]',0.008,87.539
[11:28:13.172 14/08/1994]',0.008,87.539
[11:28:13.174 14/08/1994]',0.015,87.539
[11:28:13.176 14/08/1994]',0.008,85.748
[11:28:13.178 14/08/1994]',0.008,85.748
[11:28:13.180 14/08/1994]',0.001,85.748
[11:28:13.182 14/08/1994]',-0.007,85.748
[11:28:13.184 14/08/1994]',-0.007,83.801
[11:28:13.186 14/08/1994]',-0.007,83.801
[11:28:13.188 14/08/1994]',-0.007,83.801
[11:28:13.190 14/08/1994]',-0.007,83.801
[11:28:13.192 14/08/1994]',-0.007,81.542
[11:28:13.194 14/08/1994]',-0.007,81.542
[11:28:13.196 14/08/1994]',-0.014,81.542
[11:28:13.198 14/08/1994]',-0.022,81.542
[11:28:13.200 14/08/1994]',-0.014,79.128
[11:28:13.202 14/08/1994]',-0.029,79.128
[11:28:13.204 14/08/1994]',-0.044,79.128
[11:28:13.206 14/08/1994]',-0.051,79.128
[11:28:13.208 14/08/1994]',-0.051,76.558
[11:28:13.210 14/08/1994]',-0.051,76.558
[11:28:13.212 14/08/1994]',-0.044,76.558
[11:28:13.214 14/08/1994]',-0.051,76.558
[11:28:13.216 14/08/1994]',-0.051,73.988
[11:28:13.218 14/08/1994]',-0.051,73.988
[11:28:13.220 14/08/1994]',-0.044,73.988
[11:28:13.222 14/08/1994]',-0.051,73.988
[11:28:13.224 14/08/1994]',-0.051,71.262
[11:28:13.226 14/08/1994]',-0.051,71.262
[11:28:13.228 14/08/1994]',-0.044,71.262
[11:28:13.230 14/08/1994]',-0.036,71.262
[11:28:13.232 14/08/1994]',-0.029,68.692
[11:28:13.234 14/08/1994]',-0.029,68.692
[11:28:13.236 14/08/1994]',-0.022,68.692
[11:28:13.238 14/08/1994]',-0.022,68.692
[11:28:13.240 14/08/1994]',-0.029,66.277
[11:28:13.242 14/08/1994]',-0.029,66.277
[11:28:13.244 14/08/1994]',-0.029,66.277
[11:28:13.246 14/08/1994]',-0.036,66.277
[11:28:13.248 14/08/1994]',-0.036,64.33
[11:28:13.250 14/08/1994]',-0.036,64.33
[11:28:13.252 14/08/1994]',-0.036,64.33
[11:28:13.254 14/08/1994]',-0.036,64.33
[11:28:13.256 14/08/1994]',-0.036,62.85
[11:28:13.258 14/08/1994]',-0.036,62.85
[11:28:13.260 14/08/1994]',-0.029,62.85
[11:28:13.262 14/08/1994]',-0.022,62.85
[11:28:13.264 14/08/1994]',-0.022,61.994
[11:28:13.266 14/08/1994]',-0.022,61.994
[11:28:13.268 14/08/1994]',-0.022,61.994
[11:28:13.270 14/08/1994]',-0.022,61.994
[11:28:13.272 14/08/1994]',-0.022,61.682
[11:28:13.274 14/08/1994]',-0.022,61.682
[11:28:13.276 14/08/1994]',-0.029,61.682
[11:28:13.278 14/08/1994]',-0.029,61.682
[11:28:13.280 14/08/1994]',-0.022,61.838
[11:28:13.282 14/08/1994]',-0.022,61.838
[11:28:13.284 14/08/1994]',-0.029,61.838
[11:28:13.286 14/08/1994]',-0.022,61.838
[11:28:13.288 14/08/1994]',-0.029,62.072
[11:28:13.290 14/08/1994]',-0.029,62.072
[11:28:13.292 14/08/1994]',-0.022,62.072
[11:28:13.294 14/08/1994]',-0.022,62.072
[11:28:13.296 14/08/1994]',-0.029,62.305
[11:28:13.298 14/08/1994]',-0.029,62.305
[11:28:13.300 14/08/1994]',-0.036,62.305
[11:28:13.302 14/08/1994]',-0.036,62.305
[11:28:13.304 14/08/1994]',-0.036,62.383
[11:28:13.306 14/08/1994]',-0.029,62.383
[11:28:13.308 14/08/1994]',-0.022,62.383
[11:28:13.310 14/08/1994]',-0.014,62.383
[11:28:13.312 14/08/1994]',-0.007,62.461
[11:28:13.314 14/08/1994]',-0.007,62.461
[11:28:13.316 14/08/1994]',-0.014,62.461
[11:28:13.318 14/08/1994]',-0.014,62.461
[11:28:13.320 14/08/1994]',-0.022,62.461
[11:28:13.322 14/08/1994]',-0.022,62.461
[11:28:13.324 14/08/1994]',-0.014,62.461
[11:28:13.326 14/08/1994]',-0.014,62.461
[11:28:13.328 14/08/1994]',-0.007,62.383
[11:28:13.330 14/08/1994]',0.001,62.383
[11:28:13.332 14/08/1994]',0.001,62.383
[11:28:13.334 14/08/1994]',0.008,62.383
[11:28:13.336 14/08/1994]',0.001,62.227
[11:28:13.338 14/08/1994]',-0.007,62.227
[11:28:13.340 14/08/1994]',-0.014,62.227
[11:28:13.342 14/08/1994]',-0.036,62.227
[11:28:13.344 14/08/1994]',-0.074,61.994
[11:28:13.346 14/08/1994]',-0.14,61.994
[11:28:13.348 14/08/1994]',-0.199,61.994
[11:28:13.350 14/08/1994]',-0.273,61.994
[11:28:13.352 14/08/1994]',-0.362,61.604
[11:28:13.354 14/08/1994]',-0.436,61.604
[11:28:13.356 14/08/1994]',-0.51,61.604
[11:28:13.358 14/08/1994]',-0.577,61.604
[11:28:13.360 14/08/1994]',-0.651,61.293
[11:28:13.362 14/08/1994]',-,61.293
[11:28:13.364 14/08/1994]',-,61.293
[11:28:13.366 14/08/1994]',-,61.293
[11:28:13.368 14/08/1994]',-,60.748
[11:28:13.370 14/08/1994]',-,60.748
[11:28:13.372 14/08/1994]',-,60.748
[11:28:13.374 14/08/1994]',-,60.748
[11:28:13.376 14/08/1994]',-,60.358
